899.0	3.4447229136e-06
900.0	4.0408465482e-06
901.0	4.5655038082e-06
902.0	5.0163248663e-06
903.0	5.4016041177e-06
904.0	5.7272661304e-06
905.0	5.9992354723e-06
906.0	6.2234367115e-06
907.0	6.4057944159e-06
908.0	6.5522331535e-06
909.0	6.6686774922e-06
910.0	6.7610520000e-06
911.0	6.8352812449e-06
912.0	6.8972897949e-06
913.0	6.9530022180e-06
914.0	7.0083430820e-06
915.0	7.0692369551e-06
916.0	7.1417534093e-06
917.0	7.2319620171e-06
918.0	7.3429355957e-06
919.0	7.4733001652e-06
920.0	7.6186849909e-06
921.0	7.7747193379e-06
922.0	7.9371774757e-06
923.0	8.1018336738e-06
924.0	8.2470564866e-06
925.0	8.4904601889e-06
926.0	8.7698000000e-06
927.0	8.7672634481e-06
928.0	8.8101850000e-06
929.0	8.9023171702e-06
930.0	8.9875059597e-06
931.0	9.0805449585e-06
932.0	9.1981707072e-06
933.0	9.3568358764e-06
934.0	9.5563054417e-06
935.0	9.7715819939e-06
936.0	9.9609804288e-06
937.0	1.0081582015e-05
938.0	1.0096210000e-05
939.0	9.9734445618e-06
940.0	9.7493041913e-06
941.0	9.4655643086e-06
942.0	9.1689348449e-06
943.0	8.9048921033e-06
944.0	8.7203652338e-06
945.0	8.6622833864e-06
946.0	8.7475502146e-06
947.0	8.9485154100e-06
948.0	9.2075031681e-06
949.0	9.4658201266e-06
950.0	9.6702960000e-06
951.0	9.7725091046e-06
952.0	9.7796642347e-06
953.0	9.7037147862e-06
954.0	9.5606843852e-06
955.0	9.3655833844e-06
956.0	9.1334221364e-06
957.0	8.8791224559e-06
958.0	8.6176357054e-06
959.0	8.3638247098e-06
960.0	8.1292264595e-06
961.0	7.9204471208e-06
962.0	7.7407670258e-06
963.0	7.5934665066e-06
964.0	7.4819868228e-06
965.0	7.4102474075e-06
966.0	7.3821676937e-06
967.0	7.3917848637e-06
968.0	7.4184721151e-06
969.0	7.4317203948e-06
970.0	7.4002749310e-06
971.0	7.2963420000e-06
972.0	7.0956078981e-06
973.0	6.8145248727e-06
974.0	6.4730251917e-06
975.0	6.0940239973e-06
976.0	5.6749390474e-06
977.0	5.3776691863e-06
978.0	5.2424750000e-06
979.0	5.0376020000e-06
980.0	4.4691906435e-06
981.0	4.4441061937e-06
982.0	4.8695580000e-06
983.0	4.6286918682e-06
984.0	4.6357966581e-06
985.0	5.1242057338e-06
986.0	5.7544496703e-06
987.0	6.3714602808e-06
988.0	6.7808010000e-06
989.0	6.8026226281e-06
990.0	6.5246271952e-06
991.0	6.0588173703e-06
992.0	5.5365263639e-06
993.0	5.0481223708e-06
994.0	4.6303577959e-06
995.0	4.2841232498e-06
996.0	4.0103093429e-06
997.0	3.8059629219e-06
998.0	3.6598328713e-06
999.0	3.5547032331e-06
1000.0	3.4748490000e-06
1001.0	3.4065551925e-06
1002.0	3.3564831552e-06
1003.0	3.3330336750e-06
1004.0	3.3460984892e-06
1005.0	3.4053426523e-06
1006.0	3.5204312188e-06
1007.0	3.6980107794e-06
1008.0	3.8817397749e-06
1009.0	4.4380751823e-06
1010.0	5.2979040000e-06
1011.0	5.5947098508e-06
1012.0	6.8344346286e-06
1013.0	8.7757450000e-06
1014.0	9.6538706857e-06
1015.0	1.1316640000e-05
1016.0	1.1252745657e-05
1017.0	1.1979270000e-05
1018.0	1.1866160000e-05
1019.0	1.2065283429e-05
1020.0	1.3188810000e-05
1021.0	1.3817799429e-05
1022.0	1.5545690000e-05
1023.0	1.7488610857e-05
1024.0	1.9030920000e-05
1025.0	2.0228875143e-05
1026.0	2.3303100000e-05
1027.0	2.5571379429e-05
1028.0	2.8194570000e-05
1029.0	3.1100045714e-05
1030.0	3.3692520000e-05
1031.0	3.6098102286e-05
1032.0	3.8309820000e-05
1033.0	3.8789381143e-05
1034.0	3.9813840000e-05
1035.0	4.0605211143e-05
1036.0	4.0912190000e-05
1037.0	4.0751400000e-05
1038.0	4.1245341143e-05
1039.0	4.2295620000e-05
1040.0	4.2231995303e-05
1041.0	4.3435410000e-05
1042.0	4.5432072300e-05
1043.0	4.7467640576e-05
1044.0	4.9862294857e-05
1045.0	5.2477960000e-05
1046.0	5.4409997145e-05
1047.0	5.6593020043e-05
1048.0	5.9212471228e-05
1049.0	6.1918160048e-05
1050.0	6.4756948613e-05
1051.0	6.7716811165e-05
1052.0	7.0785721948e-05
1053.0	7.3952033010e-05
1054.0	7.7204096402e-05
1055.0	8.0530264173e-05
1056.0	8.3918888372e-05
1057.0	8.7358321051e-05
1058.0	9.0836914257e-05
1059.0	9.4343020042e-05
1060.0	9.7864990453e-05
1061.0	1.0139117754e-04
1062.0	1.0490993336e-04
1063.0	1.0840960995e-04
1064.0	1.1187855937e-04
1065.0	1.1530513366e-04
1066.0	1.1867768488e-04
1067.0	1.2198456508e-04
1068.0	1.2521412630e-04
1069.0	1.2835472060e-04
1070.0	1.3139470002e-04
1071.0	1.3432241661e-04
1072.0	1.3712622243e-04
1073.0	1.3979446952e-04
1074.0	1.4231550993e-04
1075.0	1.4467769572e-04
1076.0	1.4686937892e-04
1077.0	1.4887891160e-04
1078.0	1.5069464581e-04
1079.0	1.5230493358e-04
1080.0	1.5369812697e-04
1081.0	1.5486257804e-04
1082.0	1.5578663882e-04
1083.0	1.5645866138e-04
1084.0	1.5685379948e-04
1085.0	1.5704928259e-04
1086.0	1.5700000000e-04
1087.0	1.5648540388e-04
1088.0	1.5575598863e-04
1089.0	1.5487335464e-04
1090.0	1.5376725454e-04
1091.0	1.5246951666e-04
1092.0	1.5099920985e-04
1093.0	1.4937540298e-04
1094.0	1.4761716490e-04
1095.0	1.4574356448e-04
1096.0	1.4377367057e-04
1097.0	1.4172655203e-04
1098.0	1.3962127772e-04
1099.0	1.3747691651e-04
1100.0	1.3531253724e-04
1101.0	1.3313777848e-04
1102.0	1.3103972675e-04
1103.0	1.2900000000e-04
1104.0	1.2685154316e-04
1105.0	1.2475520960e-04
1106.0	1.2284224668e-04
1107.0	1.2100000000e-04
1108.0	1.1924307891e-04
1109.0	1.1800000000e-04
1110.0	1.1609142471e-04
1111.0	1.1400000000e-04
1112.0	1.1200137305e-04
1113.0	1.1016536197e-04
1114.0	1.0851641171e-04
1115.0	1.0698591178e-04
1116.0	1.0546817605e-04
1117.0	1.0416860351e-04
1118.0	1.0300000000e-04
1119.0	1.0148482646e-04
1120.0	1.0010366311e-04
1121.0	9.8946745282e-05
1122.0	9.7831250858e-05
1123.0	9.6787273128e-05
1124.0	9.5777819793e-05
1125.0	9.4702886637e-05
1126.0	9.3433830000e-05
1127.0	9.1855809887e-05
1128.0	9.0017644698e-05
1129.0	8.7981956503e-05
1130.0	8.5823199085e-05
1131.0	8.3567105445e-05
1132.0	8.1443187781e-05
1133.0	8.0243939860e-05
1134.0	7.9281170000e-05
1135.0	7.6380433429e-05
1136.0	7.4529520000e-05
1137.0	7.2885410857e-05
1138.0	7.1897750000e-05
1139.0	7.0048292857e-05
1140.0	6.9178682857e-05
1141.0	6.9283840000e-05
1142.0	6.7226150000e-05
1143.0	6.5421783714e-05
1144.0	6.5031710000e-05
1145.0	6.4815578597e-05
1146.0	6.4965130000e-05
1147.0	6.3573889742e-05
1148.0	6.3065580000e-05
1149.0	6.3298889298e-05
1150.0	6.3696755155e-05
1151.0	6.4230691527e-05
1152.0	6.4870122771e-05
1153.0	6.5584995641e-05
1154.0	6.6345256892e-05
1155.0	6.7120853281e-05
1156.0	6.7881731563e-05
1157.0	6.8597838494e-05
1158.0	6.9239120828e-05
